seen,seconds,mean_spikes,mean_neurons_per_image,active_neurons,mean_theta
500,9.6,101.54,66.38,100,10.0705
1000,19.8,70.58,36.71,100,16.8019
1500,29.8,29.51,14.72,100,19.3762
2000,40.7,24.95,10.63,100,21.4615
2500,51.8,20.62,7.80,100,23.0581
3000,63.3,18.34,6.26,100,24.3834
3500,75.5,19.72,6.29,100,25.7680
4000,87.7,19.84,6.27,100,26.9710
4500,100.5,18.62,4.98,100,27.9141
5000,113.4,17.24,3.69,100,28.6441
5500,126.2,16.88,3.89,100,29.3751
6000,139.5,16.56,3.44,100,30.0579
6500,154.0,17.29,3.57,100,30.8217
7000,167.7,17.78,3.27,99,31.5590
7500,181.1,18.01,2.97,100,32.3186
8000,196.3,17.84,2.82,100,33.0051
8500,210.9,17.83,2.65,100,33.6645
9000,225.7,17.79,2.73,100,34.3166
9500,241.1,18.75,2.91,100,35.0027
10000,256.1,18.56,2.73,100,35.6418
10500,270.8,20.32,2.61,99,36.4616
11000,286.5,20.47,2.68,98,37.2262
11500,303.3,22.46,2.63,99,38.1397
12000,319.8,21.83,2.41,98,39.0046
12500,337.0,23.04,2.22,99,39.9232
13000,354.9,23.91,2.35,99,40.8643
13500,373.9,25.33,2.16,97,41.8748
14000,393.1,27.05,2.16,99,42.9757
14500,413.2,27.16,2.20,98,43.9887
15000,434.3,26.02,2.15,99,44.7799
15500,455.7,27.89,2.04,100,45.6274
16000,476.9,28.31,2.10,100,46.4474
16500,499.2,29.67,2.03,97,47.2309
17000,521.3,30.43,1.97,96,48.0791
17500,543.6,32.76,1.96,99,48.9170
18000,567.3,32.58,1.85,99,49.5449
18500,590.7,32.81,1.87,98,50.0712
19000,614.8,32.09,1.75,95,50.3671
19500,638.3,34.01,1.87,98,50.8593
20000,662.5,34.60,1.69,97,51.2718
20500,687.1,33.44,1.89,99,51.6329
21000,711.1,33.91,1.72,98,51.9124
21500,735.1,34.38,1.87,97,52.2519
22000,758.6,34.00,1.95,99,52.4367
22500,782.5,33.08,1.91,100,52.5399
23000,807.5,33.94,2.01,99,52.6816
23500,832.1,34.42,1.91,97,52.8419
24000,856.9,34.24,1.92,100,52.9637
24500,881.8,35.73,1.84,98,53.2222
25000,905.8,35.15,1.91,98,53.4045
25500,930.7,36.37,1.87,97,53.6687
26000,955.2,36.77,1.83,99,53.8939
26500,979.8,37.11,1.86,95,54.0587
27000,1005.3,36.26,1.93,97,54.1437
27500,1030.7,36.29,1.97,98,54.2637
28000,1056.0,35.21,1.88,98,54.2865
28500,1082.0,36.65,1.80,99,54.3862
29000,1107.6,37.43,1.91,99,54.6150
29500,1133.1,36.70,1.84,99,54.7203
30000,1157.9,37.60,1.92,98,54.8562
30500,1183.0,34.19,2.00,98,54.6782
31000,1208.0,33.45,1.87,98,54.5113
31500,1233.2,33.96,1.94,97,54.4329
32000,1258.0,36.27,1.95,99,54.6106
32500,1283.5,37.48,1.83,98,54.8673
33000,1308.6,35.19,1.84,97,54.8610
33500,1333.7,35.99,1.89,99,54.8973
34000,1358.7,37.88,1.81,99,55.1206
34500,1384.2,35.98,1.90,99,55.0896
35000,1409.6,34.19,2.06,98,54.9370
35500,1434.8,34.37,1.99,99,54.7501
36000,1460.3,33.83,2.09,96,54.6430
36500,1486.5,37.72,2.01,99,54.8801
37000,1511.7,35.99,1.89,98,54.9177
37500,1536.5,34.22,1.92,99,54.7400
38000,1560.9,33.11,1.91,99,54.5413
38500,1585.6,36.46,1.94,97,54.6568
39000,1610.2,35.26,1.96,98,54.6415
39500,1635.4,35.39,2.10,99,54.5926
40000,1660.2,36.52,2.00,99,54.7020
40500,1685.4,36.44,1.99,98,54.7770
41000,1710.1,32.68,2.09,96,54.4980
41500,1735.3,35.98,1.85,98,54.4978
42000,1760.4,36.72,1.92,98,54.6007
42500,1786.0,36.20,1.79,96,54.5402
43000,1811.8,36.21,2.03,100,54.4958
43500,1837.1,34.95,1.89,99,54.3441
44000,1862.2,36.87,1.91,99,54.4484
44500,1887.2,35.56,1.97,96,54.3828
45000,1912.4,37.50,2.10,100,54.5811
45500,1937.4,36.23,1.92,100,54.7042
46000,1962.3,36.42,2.03,96,54.7644
46500,1988.1,36.29,2.03,94,54.7144
47000,2013.8,35.26,2.13,98,54.7157
47500,2038.9,35.51,2.04,98,54.7600
48000,2063.7,33.01,2.17,96,54.6101
48500,2089.7,32.74,2.10,99,54.2714
49000,2114.8,34.53,2.02,99,54.0415
49500,2139.5,34.35,2.03,100,54.0034
50000,2164.8,35.87,2.01,97,54.1620
50500,2189.9,35.16,2.13,98,54.0973
51000,2215.4,35.16,2.07,96,54.0497
51500,2240.7,34.19,1.98,95,53.9645
52000,2266.2,34.64,1.99,98,53.8793
52500,2290.7,33.90,1.94,99,53.8173
53000,2315.7,35.50,1.93,98,53.8509
53500,2341.0,35.98,2.03,99,53.9631
54000,2365.5,33.72,2.04,99,53.8452
54500,2391.3,34.47,2.01,100,53.8312
55000,2416.0,35.01,1.98,98,53.9288
55500,2441.1,36.18,1.94,99,54.1844
56000,2466.2,33.12,2.09,97,53.9736
56500,2491.1,32.92,2.06,97,53.8133
57000,2515.9,34.02,2.30,98,53.8565
57500,2541.3,35.73,2.18,99,54.0149
58000,2565.2,35.72,2.11,99,54.2708
58500,2590.2,34.39,1.89,99,54.2211
59000,2614.6,32.90,1.97,99,54.1328
59500,2640.0,34.96,1.99,99,54.1353
60000,2665.0,34.18,2.00,99,54.0554
