seen,seconds,mean_spikes,mean_neurons_per_image,active_neurons,mean_theta
500,9.9,100.49,63.33,100,9.9611
1000,19.6,63.03,35.02,100,15.9565
1500,29.7,35.34,18.32,100,19.1156
2000,40.7,25.80,11.53,100,21.2778
2500,51.6,20.82,7.31,100,22.8784
3000,62.8,20.72,7.51,100,24.3930
3500,75.0,20.28,6.73,100,25.7777
4000,87.3,17.52,5.51,100,26.8052
4500,99.9,17.82,4.92,100,27.7429
5000,112.9,16.54,4.01,100,28.4934
5500,126.4,18.31,4.13,99,29.3644
6000,139.8,17.63,4.04,100,30.1143
6500,153.9,17.20,3.36,97,30.8219
7000,166.9,17.19,3.45,100,31.5167
7500,180.4,16.67,3.08,100,32.1367
8000,194.3,18.13,2.86,100,32.8761
8500,207.9,18.27,2.98,100,33.6178
9000,222.8,18.13,2.73,99,34.2760
9500,237.9,19.36,2.64,100,35.0138
10000,252.8,19.50,2.52,100,35.7715
10500,267.8,19.67,2.66,100,36.5270
11000,283.8,21.06,2.67,99,37.3404
11500,299.8,21.27,2.30,100,38.1438
12000,317.1,21.98,2.39,100,38.9743
12500,334.0,23.11,2.35,97,39.8759
13000,352.2,24.62,2.31,100,40.8469
13500,371.2,25.57,2.12,99,41.8843
14000,390.1,25.95,2.07,99,42.8640
14500,409.9,26.76,2.13,99,43.8158
15000,430.7,27.84,2.13,98,44.7963
15500,453.1,28.82,2.05,97,45.7197
16000,475.0,29.36,1.89,97,46.6238
16500,497.9,30.49,1.89,97,47.5378
17000,520.4,31.30,1.87,98,48.3108
17500,543.5,32.45,2.02,98,49.0952
18000,567.5,32.30,1.98,100,49.6905
18500,591.1,30.45,1.87,97,50.0465
19000,614.0,32.44,1.90,100,50.5820
19500,637.4,32.70,1.85,98,50.9469
20000,661.1,33.68,1.76,96,51.3129
20500,685.7,35.39,1.79,98,51.8779
21000,709.5,33.74,1.75,97,52.1294
21500,734.5,35.59,1.88,100,52.5465
22000,759.1,34.07,1.77,96,52.6886
22500,782.7,33.03,1.88,97,52.7987
23000,808.0,33.97,1.89,99,52.8848
23500,832.9,36.43,1.81,99,53.1926
24000,857.5,32.14,1.83,98,53.1438
24500,882.3,33.26,1.86,97,53.1705
25000,906.5,33.90,1.92,98,53.3119
25500,930.2,33.56,1.82,97,53.4291
26000,953.8,33.13,1.92,97,53.4281
26500,978.1,35.08,1.89,94,53.5372
27000,1003.2,37.09,1.83,99,53.7702
27500,1028.5,36.68,1.84,100,53.9435
28000,1053.6,36.97,1.75,96,54.0723
28500,1078.6,37.83,1.80,97,54.2238
29000,1103.7,37.59,1.81,98,54.4010
29500,1129.1,35.51,1.75,99,54.4044
30000,1153.1,36.44,1.74,100,54.5350
30500,1177.9,36.04,1.90,100,54.5375
31000,1202.8,35.33,1.97,98,54.5519
31500,1227.3,34.79,1.93,96,54.4543
32000,1252.3,37.21,1.84,97,54.5930
32500,1277.0,39.14,2.01,98,54.9199
33000,1302.4,36.52,1.87,97,54.9173
33500,1327.1,36.65,1.78,98,55.0282
34000,1352.5,37.29,1.94,98,55.0742
34500,1377.4,36.65,1.72,94,55.0427
35000,1402.9,37.10,1.91,99,55.1403
35500,1427.8,36.05,1.91,98,55.1270
36000,1452.5,36.03,1.88,97,55.1900
36500,1478.8,36.78,2.00,98,55.2410
37000,1504.8,37.27,1.99,100,55.2545
37500,1530.3,35.73,1.95,97,55.0679
38000,1554.9,38.09,1.83,99,55.1247
38500,1579.3,35.82,1.99,98,55.0147
39000,1604.7,37.37,1.86,99,55.0801
39500,1630.0,35.98,2.06,98,54.9820
40000,1655.9,37.50,1.96,100,55.0014
40500,1681.1,37.30,1.93,97,55.1403
41000,1706.3,36.23,2.00,98,55.1358
41500,1730.5,34.81,1.92,99,55.0752
42000,1755.4,35.87,2.00,97,55.0322
42500,1780.9,36.03,1.97,99,55.0240
43000,1806.6,38.67,2.15,98,55.2393
43500,1832.3,34.23,1.91,98,54.9872
44000,1857.9,35.70,2.17,99,54.8549
44500,1883.3,36.75,1.96,99,54.8968
45000,1908.6,36.68,1.93,97,54.9303
45500,1933.9,36.35,1.99,98,54.9613
46000,1958.9,35.67,1.94,100,54.8832
46500,1983.9,36.12,2.06,100,54.8501
47000,2009.1,37.75,1.90,100,55.0416
47500,2035.1,36.45,1.94,98,54.9826
48000,2060.5,36.43,2.12,99,55.0031
48500,2086.9,36.59,1.90,99,55.0009
49000,2112.5,36.86,2.07,100,55.0377
49500,2137.8,36.40,1.93,100,54.9846
50000,2163.6,34.92,1.95,99,54.8035
50500,2188.6,34.12,2.01,97,54.5458
51000,2213.6,34.46,2.09,98,54.4201
51500,2238.6,33.68,1.96,98,54.1709
52000,2263.6,37.14,1.85,97,54.4068
52500,2287.9,34.50,2.08,100,54.3528
53000,2313.2,35.37,2.23,100,54.4183
53500,2339.2,36.14,1.97,99,54.4341
54000,2363.4,35.19,2.05,98,54.4817
54500,2388.3,33.58,2.07,94,54.2905
55000,2413.2,35.82,2.15,98,54.3772
55500,2437.6,34.14,1.90,97,54.3897
56000,2462.5,34.12,2.04,98,54.3448
56500,2487.8,35.40,1.95,97,54.3955
57000,2513.0,37.35,1.90,96,54.5485
57500,2538.2,37.15,2.18,98,54.6222
58000,2563.7,37.41,1.97,97,54.6388
58500,2589.0,35.28,1.85,98,54.5011
59000,2614.6,36.05,1.98,99,54.4653
59500,2640.3,35.69,2.02,98,54.4808
60000,2665.6,34.80,2.21,96,54.4517
